id,biosample,sample,dateCollected,depth,sra,submitter
44822555,SAMN44822555,BSV4_745_S92,2021-03-24,299.757,SRS23255801,Fabian Wittmers
44822554,SAMN44822554,BSV4_744_S91,2021-03-24,249.722,SRS23255800,Fabian Wittmers
44822553,SAMN44822553,BSV4_743_S90,2021-03-24,199.364,SRS23255798,Fabian Wittmers
44822552,SAMN44822552,BSV4_742_S89,2021-03-24,159.281,SRS23255797,Fabian Wittmers
44822551,SAMN44822551,BSV4_741_S88,2021-03-24,120.23,SRS23255795,Fabian Wittmers
44822550,SAMN44822550,BSV4_740_S87,2021-03-24,80.376,SRS23255792,Fabian Wittmers
44822549,SAMN44822549,BSV4_739_S86,2021-03-24,39.877,SRS23255794,Fabian Wittmers
44822548,SAMN44822548,BSV4_738_S85,2021-03-24,5.246,SRS23255793,Fabian Wittmers
44822547,SAMN44822547,BSV4_737_S84,2021-03-19,1001.926,SRS23255791,Fabian Wittmers
44822546,SAMN44822546,BSV4_736_S83,2021-03-19,801.425,SRS23255788,Fabian Wittmers
44822545,SAMN44822545,BSV4_735_S82,2021-03-19,602.776,SRS23255790,Fabian Wittmers
44822544,SAMN44822544,BSV4_734_S81,2021-03-19,503.157,SRS23255789,Fabian Wittmers
44822543,SAMN44822543,BSV4_733_S80,2021-03-19,298.95,SRS23255787,Fabian Wittmers
44822542,SAMN44822542,BSV4_732_S79,2021-03-19,250.544,SRS23255785,Fabian Wittmers
44822541,SAMN44822541,BSV4_731_S78,2021-03-19,202.326,SRS23255784,Fabian Wittmers
44822540,SAMN44822540,BSV4_730_S77,2021-03-19,161.71,SRS23255781,Fabian Wittmers
44822539,SAMN44822539,BSV4_729_S76,2021-03-19,120.854,SRS23255783,Fabian Wittmers
44822538,SAMN44822538,BSV4_728_S75,2021-03-19,79.745,SRS23255782,Fabian Wittmers
44822537,SAMN44822537,BSV4_727_S74,2021-03-19,40.551,SRS23255780,Fabian Wittmers
44822536,SAMN44822536,BSV4_726_S73,2021-03-19,4.932,SRS23255779,Fabian Wittmers
44822535,SAMN44822535,BSV4_725_S72,2021-02-13,1001.35,SRS23255777,Fabian Wittmers
44822534,SAMN44822534,BSV4_724_S71,2021-02-13,799.35,SRS23255778,Fabian Wittmers
44822533,SAMN44822533,BSV4_723_S70,2021-02-13,603.974,SRS23255776,Fabian Wittmers
44822532,SAMN44822532,BSV4_722_S69,2021-02-13,502.074,SRS23255773,Fabian Wittmers
44822531,SAMN44822531,BSV4_721_S68,2021-02-13,299.976,SRS23255774,Fabian Wittmers
