,filename,source,V4_16S_found,V4_18S_found,V1V2_found
0,1032901101-AE1624-10_S1_L001_R1_001.fastq.gz,cyANDgoogle,,,
1,1032901101-AE1624-10_S1_L001_R2_001.fastq.gz,cyANDgoogle,,,
2,1032901103-AE1624-40_S2_L001_R1_001.fastq.gz,cyANDgoogle,,,
3,1032901103-AE1624-40_S2_L001_R2_001.fastq.gz,cyANDgoogle,,,
4,1032901105-AE1624-80_S3_L001_R1_001.fastq.gz,cyANDgoogle,,,
5,1032901107-AE1624-120_S4_L001_R1_001.fastq.gz,cyANDgoogle,,,
6,1032901107-AE1624-120_S4_L001_R2_001.fastq.gz,cyANDgoogle,,,
7,1032901109-AE1624-160_S5_L001_R1_001.fastq.gz,cyANDgoogle,,,
8,1032901109-AE1624-160_S5_L001_R2_001.fastq.gz,cyANDgoogle,,,
9,1032901111-AE1624-200_S6_L001_R1_001.fastq.gz,cyANDgoogle,,,
10,1032901111-AE1624-200_S6_L001_R2_001.fastq.gz,cyANDgoogle,,,
11,1032901113-AE1624-250_S7_L001_R1_001.fastq.gz,cyANDgoogle,,,
12,1032901113-AE1624-250_S7_L001_R2_001.fastq.gz,cyANDgoogle,,,
13,1032901115-AE1624-300_S8_L001_R1_001.fastq.gz,cyANDgoogle,,,
14,1032901115-AE1624-300_S8_L001_R2_001.fastq.gz,cyANDgoogle,,,
15,1032901601-AE1624-500_S9_L001_R1_001.fastq.gz,cyANDgoogle,,,
16,1032901601-AE1624-500_S9_L001_R2_001.fastq.gz,cyANDgoogle,,,
17,1032901603-AE1624-600_S10_L001_R2_001.fastq.gz,cyANDgoogle,,,
18,1032901606-AE1624-800_S11_L001_R1_001.fastq.gz,cyANDgoogle,,,
19,1032901606-AE1624-800_S11_L001_R2_001.fastq.gz,cyANDgoogle,,,
20,1032901607-AE1624-1000_S12_L001_R1_001.fastq.gz,cyANDgoogle,,,
21,1032901607-AE1624-1000_S12_L001_R2_001.fastq.gz,cyANDgoogle,,,
22,1033001401-AE1627-1_S13_L001_R1_001.fastq.gz,cyANDgoogle,,,
23,1033001401-AE1627-1_S13_L001_R2_001.fastq.gz,cyANDgoogle,,,
24,1033001404-AE1627-40_S14_L001_R1_001.fastq.gz,cyANDgoogle,,,
25,1033001404-AE1627-40_S14_L001_R2_001.fastq.gz,cyANDgoogle,,,
26,1033001407-AE1627-80_S15_L001_R1_001.fastq.gz,cyANDgoogle,,,
27,1033001407-AE1627-80_S15_L001_R2_001.fastq.gz,cyANDgoogle,,,
28,1033001409-AE1627-120_S16_L001_R1_001.fastq.gz,cyANDgoogle,,,
29,1033001409-AE1627-120_S16_L001_R2_001.fastq.gz,cyANDgoogle,,,
30,1033001412-AE1627-160_S17_L001_R1_001.fastq.gz,cyANDgoogle,,,
31,1033001412-AE1627-160_S17_L001_R2_001.fastq.gz,cyANDgoogle,,,
32,1033001413-AE1627-200_S18_L001_R1_001.fastq.gz,cyANDgoogle,,,
33,1033001413-AE1627-200_S18_L001_R2_001.fastq.gz,cyANDgoogle,,,
34,1033001415-AE1627-250_S19_L001_R1_001.fastq.gz,cyANDgoogle,,,
35,1033001415-AE1627-250_S19_L001_R2_001.fastq.gz,cyANDgoogle,,,
36,1033001417-AE1627-300_S20_L001_R1_001.fastq.gz,cyANDgoogle,,,
37,1033001417-AE1627-300_S20_L001_R2_001.fastq.gz,cyANDgoogle,,,
38,1033001419-AE1627-400_S21_L001_R1_001.fastq.gz,cyANDgoogle,,,
39,1033001419-AE1627-400_S21_L001_R2_001.fastq.gz,cyANDgoogle,,,
40,1033001421-AE1627-600_S22_L001_R1_001.fastq.gz,cyANDgoogle,,,
41,1033001421-AE1627-600_S22_L001_R2_001.fastq.gz,cyANDgoogle,,,
42,1033001422-AE1627-800_S23_L001_R1_001.fastq.gz,cyANDgoogle,,,
43,1033001422-AE1627-800_S23_L001_R2_001.fastq.gz,cyANDgoogle,,,
44,1033001423-AE1627-1000_S24_L001_R1_001.fastq.gz,cyANDgoogle,,,
45,1033001423-AE1627-1000_S24_L001_R2_001.fastq.gz,cyANDgoogle,,,
46,1033101511-AE1629-200_S25_L001_R1_001.fastq.gz,cyANDgoogle,,,
47,1033101513-AE1629-250_S26_L001_R1_001.fastq.gz,cyANDgoogle,,,
48,1033101513-AE1629-250_S26_L001_R2_001.fastq.gz,cyANDgoogle,,,
49,1033101515-AE1629-300_S27_L001_R1_001.fastq.gz,cyANDgoogle,,,
50,1033101515-AE1629-300_S27_L001_R2_001.fastq.gz,cyANDgoogle,,,
51,1033101517-AE1629-500_S28_L001_R1_001.fastq.gz,cyANDgoogle,,,
52,1033101517-AE1629-500_S28_L001_R2_001.fastq.gz,cyANDgoogle,,,
53,1033101519-AE1629-600_S29_L001_R1_001.fastq.gz,cyANDgoogle,,,
54,1033101519-AE1629-600_S29_L001_R2_001.fastq.gz,cyANDgoogle,,,
55,1033101521-AE1629-800_S30_L001_R1_001.fastq.gz,cyANDgoogle,,,
56,1033101521-AE1629-800_S30_L001_R2_001.fastq.gz,cyANDgoogle,,,
57,1033101523-AE1629-1000_S31_L001_R1_001.fastq.gz,cyANDgoogle,,,
58,1033101523-AE1629-1000_S31_L001_R2_001.fastq.gz,cyANDgoogle,,,
59,1033201504-AE1701-40_S32_L001_R1_001.fastq.gz,cyANDgoogle,,,
60,1033201504-AE1701-40_S32_L001_R2_001.fastq.gz,cyANDgoogle,,,
61,1033201505-AE1701-80_S33_L001_R1_001.fastq.gz,cyANDgoogle,,,
62,1033201505-AE1701-80_S33_L001_R2_001.fastq.gz,cyANDgoogle,,,
63,1033201511-AE1701-200_S34_L001_R1_001.fastq.gz,cyANDgoogle,,,
64,1033201511-AE1701-200_S34_L001_R2_001.fastq.gz,cyANDgoogle,,,
65,1033201513-AE1701-250_S35_L001_R1_001.fastq.gz,cyANDgoogle,,,
66,1033201513-AE1701-250_S35_L001_R2_001.fastq.gz,cyANDgoogle,,,
67,1033201515-AE1701-300_S36_L001_R1_001.fastq.gz,cyANDgoogle,,,
68,1033201515-AE1701-300_S36_L001_R2_001.fastq.gz,cyANDgoogle,,,
69,1033201518-AE1701-500_S37_L001_R1_001.fastq.gz,cyANDgoogle,,,
70,1033201518-AE1701-500_S37_L001_R2_001.fastq.gz,cyANDgoogle,,,
71,1033201519-AE1701-600_S38_L001_R1_001.fastq.gz,cyANDgoogle,,,
72,1033201519-AE1701-600_S38_L001_R2_001.fastq.gz,cyANDgoogle,,,
73,1033201521-AE1701-800_S39_L001_R2_001.fastq.gz,cyANDgoogle,,,
74,1033201523-AE1701-1000_S40_L001_R1_001.fastq.gz,cyANDgoogle,,,
75,1033201523-AE1701-1000_S40_L001_R2_001.fastq.gz,cyANDgoogle,,,
76,1033500701-AE1707-1_S42_L001_R1_001.fastq.gz,cyANDgoogle,,,
77,1033500701-AE1707-1_S42_L001_R2_001.fastq.gz,cyANDgoogle,,,
78,1033500703-AE1707-20_S41_L001_R1_001.fastq.gz,cyANDgoogle,,,
79,1033500703-AE1707-20_S41_L001_R2_001.fastq.gz,cyANDgoogle,,,
80,1033500705-AE1707-40_S43_L001_R1_001.fastq.gz,cyANDgoogle,,,
81,1033500705-AE1707-40_S43_L001_R2_001.fastq.gz,cyANDgoogle,,,
82,1033500707-AE1707-80_S44_L001_R1_001.fastq.gz,cyANDgoogle,,,
83,1033500707-AE1707-80_S44_L001_R2_001.fastq.gz,cyANDgoogle,,,
84,1033500712-AE1707-160_S45_L001_R1_001.fastq.gz,cyANDgoogle,,,
85,1033500712-AE1707-160_S45_L001_R2_001.fastq.gz,cyANDgoogle,,,
86,1033500715-AE1707-250_S46_L001_R1_001.fastq.gz,cyANDgoogle,,,
87,1033500715-AE1707-250_S46_L001_R2_001.fastq.gz,cyANDgoogle,,,
88,1033500723-AE1707-1000_S47_L001_R1_001.fastq.gz,cyANDgoogle,,,
89,1033500723-AE1707-1000_S47_L001_R2_001.fastq.gz,cyANDgoogle,,,
90,1034201302-AE1728-1_S54_L001_R1_001.fastq.gz,cyANDgoogle,,,
91,1034201302-AE1728-1_S54_L001_R2_001.fastq.gz,cyANDgoogle,,,
92,1034201303-AE1728-40_S55_L001_R1_001.fastq.gz,cyANDgoogle,,,
93,1034201303-AE1728-40_S55_L001_R2_001.fastq.gz,cyANDgoogle,,,
94,1034201305-AE1728-80_S56_L001_R1_001.fastq.gz,cyANDgoogle,,,
